"gene_id"	"lambda"	"p.value"	"p.adjusted"	"ci.hi"	"ci.lo"	"logFC"	"z"	"SE"	"logFC.CPM"	"SYMBOL"
"ENSG00000228696"	54.0491243642064	1.8339258345233e-12	1.39256702496174e-11	-1.22464486778453	-3.49662316708959	-2.36063401743706	-4.07288894992697	0.579586300843128	-0.61332543659966	"TMEM213"
"ENSG00000135069"	53.9848647771178	1.89380631545932e-12	1.43744783084577e-11	3.22259501567573	2.3067181326247	2.76465657415021	11.8326543998041	0.233642062002814	0.310915749838378	"ALPL"
"ENSG00000105287"	53.9328171917741	1.94373721618505e-12	1.47474301144514e-11	-0.38248012351171	-1.51822526581621	-0.950352694663962	-3.28006167012521	0.289730903649108	-0.167893254066852	"MPV17L2"
"ENSG00000106554"	53.8352085033075	2.04095301763326e-12	1.54786878552039e-11	0.188795120223961	-5.48921331768353	-2.65020909872978	-1.82962545470432	1.44847154028252	0.217901982530437	"HES6"
"ENSG00000171126"	53.8138625460622	2.06285272522873e-12	1.56383802468996e-11	-0.00614791487443895	-0.102560867930196	-0.0543543914023173	-2.20992400240093	0.0245951410856522	0.251516281412271	"R3HDML"
"ENSG00000005812"	53.779315518058	2.09879497142636e-12	1.59043543748095e-11	0.930346674576844	0.667267592723275	0.798807133650059	11.9023770458438	0.0671120106769308	0.252436354659247	"DEXI"
"ENSG00000102230"	53.7674826548518	2.11124915415478e-12	1.59856647878694e-11	-1.21925307991187	-4.09273410526009	-2.65599359258598	-3.62323727821158	0.733030873813323	-0.0710391485395448	"CETN2"
"ENSG00000127527"	53.7676936363423	2.11102644865504e-12	1.59856647878694e-11	11.7940661637344	6.65258318228216	9.22332467300828	7.0319727759596	1.31160280139088	0.0734852372717644	"SMARCA5-AS1"
"ENSG00000089053"	53.7388313188494	2.14171188713075e-12	1.62096993971696e-11	-0.723764508640601	-2.77915953080927	-1.75146201972493	-3.3402849008836	0.524335464838945	-0.0874888685641688	"ZNF664"
"ENSG00000089351"	53.6064339237	2.28828849050967e-12	1.73120087635744e-11	0.852420047917757	0.611498824620801	0.731959436269279	11.9094043571557	0.0614594957390194	-0.481536803119459	"LINC02071"
"ENSG00000214353"	53.5922828896269	2.3045367292678e-12	1.74278240500868e-11	0.333423386423427	0.237408726848156	0.285416056635791	11.6524954437202	0.0244935356059365	0.501672271023537	"TEX45"
"ENSG00000231768"	53.5048048261501	2.40757183644998e-12	1.81995941962055e-11	-0.159855175201418	-0.615984787629819	-0.387919981415618	-3.33374186521339	0.116359595007245	0.267401206679102	"CREM"
"ENSG00000166532"	53.4566450956299	2.46624948149292e-12	1.86355599573444e-11	-2.02248897860056	-4.92455901825918	-3.47352399842987	-4.6918109096767	0.740323989708831	0.139685891921453	"UBXN2A"
"ENSG00000214517"	53.4404504877457	2.48630052327552e-12	1.8779417760936e-11	-0.97092462327995	-3.34313462258764	-2.15702962293379	-3.56435591770549	0.605155612068287	0.768188505114442	"CD320"
"ENSG00000222009"	53.4392146619886	2.48783731514169e-12	1.8783374321935e-11	-0.0150543454254091	-0.0841018503089738	-0.0495780978671915	-2.81462122072501	0.0176141594090726	-0.190812332035272	"HDAC9"
"ENSG00000256463"	53.4362993574769	2.49146636111725e-12	1.88031179219362e-11	0.677024452743451	0.475594051329326	0.576309252036388	11.2152422873475	0.0513853064831951	-0.168358286755858	"LINC02069"
"ENSG00000114030"	53.3910797126628	2.54843962368998e-12	1.9225270928431e-11	-0.409481155139128	-2.64305605115121	-1.52626860314517	-2.6786041500017	0.569789514288797	0.137995472276362	"ACVR2B"
"ENSG00000198668"	53.3098950500171	2.65401500843896e-12	2.00135828798226e-11	-1.96978060153219	-6.6131159345115	-4.29144826802184	-3.6228630687514	1.18452431963758	0.765121294094488	"MRPL40"
"ENSG00000143195"	53.2816477694778	2.69176532007403e-12	2.02900017602166e-11	-0.34490609137045	-1.04455880072289	-0.694732446046672	-3.89236132424373	0.17848283401848	-0.0185731202519694	"WDR70"
"ENSG00000136213"	53.2777180688154	2.69705943542363e-12	2.03216469366357e-11	0.751809662335211	0.544253661172398	0.648031661753804	12.2388050527413	0.0529479594803092	0.143426236213777	"ESYT1"
