ENSEMBL	SYMBOL	lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	logFDR	n.studies
ENSG00000120519	SLC10A7	-0.0352461924109208	0.557227979183098	1.14970215077712	0.0652755842046684	124.342620115441	9.98488596441496e-28	0.302288295227555	0.266962949665214	98.3915410515371	62.1713100577203	0.61091044336613	1	0.214022450645506	3
ENSG00000135069	PSAT1	-0.0573121571649935	0.906336134955135	1.86998442707526	0.0652710963006105	143.035662753557	8.71365729675844e-32	0.491666326382149	0.703743492008547	98.6017473114758	71.5178313767785	0.61091044336613	1	0.214022450645506	3
ENSG00000145349	CAMK2D	-0.216631299168546	3.12516721512583	6.46696572942021	0.0668159887552457	136.69521932789	2.07496259263909e-30	1.70503057232381	8.56082593230373	98.5368910413739	68.347609663945	0.614956593128302	1	0.21115553793215	3
ENSG00000196782	MAML3	-2.18554828447939	-1.05634686205742	0.0728545603645392	0.0667268016524974	84.1474506355287	5.34088542484113e-19	0.576133761298147	0.788918853865656	97.6232197352446	42.0737253177644	0.614956593128302	1	0.21115553793215	3
ENSG00000265491	RNF115	-0.0593204669438886	0.879049207820042	1.81741888258397	0.0663485054991684	18.5241083576238	9.49600597157046e-05	0.478768835634568	0.528084081926833	89.2032590104297	9.26205417881192	0.614956593128302	1	0.21115553793215	3
ENSG00000075391	RASAL2	-6.88807653957696	-3.32334202756423	0.241392484448506	0.0676634731761709	2494.24720003231	0	1.81877551839264	9.90756600126561	99.9198154858118	1247.12360001615	0.615494908830452	1	0.210775535057581	3
ENSG00000106617	PRKAG2	-0.056014729087089	0.768474838925161	1.59296440693741	0.0677288490301825	94.5646932476798	2.92104178704251e-21	0.420665672693845	0.506773647938373	97.8850457487747	47.2823466238399	0.615494908830452	1	0.210775535057581	3
ENSG00000196141	SPATS2L	-3.43158718610713	-1.65519193780993	0.121203310487272	0.067814751952932	84.2456691966976	5.08493460242648e-19	0.906340760498243	2.36064424609962	97.6259907256118	42.1228345983488	0.615494908830452	1	0.210775535057581	3
ENSG00000165449	SLC16A9	-0.168703221501019	2.24297352620627	4.65465027391356	0.0683247072509362	206.410465422245	1.50847087716855e-45	1.23046993043254	4.48307318655228	99.0310568817774	103.205232711123	0.616739511727866	1	0.209898227387385	3
ENSG00000134775	FHOD3	-2.82730224232954	-1.36061307015965	0.106076102010231	0.0690316573057978	39.5609152412859	2.56718050344788e-09	0.748324552766756	1.37401528616741	94.9445052324958	19.7804576206429	0.618920766579986	1	0.208364945228029	3
ENSG00000139117	CPNE8	-0.118168559050416	1.51250483882073	3.14317823669188	0.0690743711337386	244.610923103636	7.64562409048794e-54	0.83199151144291	2.043352655165	99.1823750245394	122.305461551818	0.618920766579986	1	0.208364945228029	3
ENSG00000184828	ZBTB7C	-3.44904187389148	-1.66068257904095	0.127676715809578	0.0687535442888773	71.6497623765927	2.76345110670357e-16	0.912444978049025	2.291739290548	97.2086439177733	35.8248811882964	0.618920766579986	1	0.208364945228029	3
