gene	sig.nft.up	sig.plaq.up	sig.plaq.dw	sig.nft.dw	ntest	nft.resid	nft	plaq_n	dir	set
CPEB2	1	3	0	0	6	-0.000966281740431285	0.00127179856575163	0.00171330130006534	Plaque	Opc_Opc
AGAP1	0	0	5	1	6	-0.000961018456016392	-0.0035997784403469	-0.00549852268932953	Plaque	Opc_Opc
SYTL2	0	0	3	2	6	-0.000950190508467459	-0.00370740262123281	-0.00572616656703124	Plaque	Opc_Opc
SLC25A29	0	0	4	0	6	-0.00093939932513218	-0.00324877387109278	-0.00259735596393018	Plaque	Opc_Opc
FTH1	2	4	0	0	6	-0.000934287808228796	0.00359532166558598	0.00707887068573169	Plaque	Opc_Opc
MYH14	0	0	4	2	6	-0.000931832970889821	-0.00424089387325775	-0.00587089471095845	Plaque	Opc_Opc
TMED10	0	3	0	0	6	-0.000895195518769575	0.00157140524406548	0.00378850923744636	Plaque	Opc_Opc
MCU	0	0	3	2	6	-0.000890513825594685	-0.00297197461382146	-0.00406616148473108	Plaque	Opc_Opc
ASXL2	2	3	0	0	6	-0.000884705841259893	0.00110493214005241	0.00244013474112619	Plaque	Opc_Opc
CACNG8	0	0	3	2	6	-0.000876226980769447	-0.00263782474306412	-0.00425758141681483	Plaque	Opc_Opc
SPSB3	1	3	0	0	6	-0.000859834960819883	0.00112329316908274	0.00275263123856575	Plaque	Opc_Opc
TAF15	0	0	3	2	6	-0.000828605480455512	-0.00197328118610823	-0.00232558624436596	Plaque	Opc_Opc
PRKAR1A	1	3	0	0	6	-0.000815052595622297	0.00142524370231838	0.00234264548942313	Plaque	Opc_Opc
MCCC1	0	0	3	1	6	-0.000810430173541769	-0.00175909651966984	-0.00182582117970078	Plaque	Opc_Opc
SOX13	2	3	0	0	6	-0.000772092536880445	0.00143739342623016	0.00290894768103144	Plaque	Opc_Opc
PIK3R1	0	4	0	0	6	-0.000763032557742973	0.00123323735114056	0.00252717604278444	Plaque	Opc_Opc
REEP3	0	3	0	0	6	-0.000751590617026588	0.00148477344357978	0.00325573731624894	Plaque	Opc_Opc
SLITRK3	2	5	0	0	6	-0.000719051956260256	0.00392952929853228	0.00612547611560983	Plaque	Opc_Opc
DGKD	0	0	3	0	6	-0.000705377066774981	-0.00231741766320981	-0.00402713629258434	Plaque	Opc_Opc
ITPR2	0	0	4	1	6	-0.000697547701669617	-0.00215906414182862	-0.00378434476477755	Plaque	Opc_Opc
SNX13	2	4	0	0	6	-0.000685851942142881	0.00102829805390495	0.0020086655332759	Plaque	Opc_Opc
USP3	2	4	0	0	6	-0.000685691901640569	0.00144773442860774	0.00218832609367366	Plaque	Opc_Opc
SARM1	0	0	4	2	6	-0.000684551079820903	-0.00309577638661831	-0.0045057825407853	Plaque	Opc_Opc
ATF7IP2	0	0	3	2	6	-0.000663699841111	-0.00441202212470214	-0.00767514749623798	Plaque	Opc_Opc
PLEKHH2	0	0	4	2	6	-0.000642884057186349	-0.00407390715990172	-0.00645047417219712	Plaque	Opc_Opc
MEST	0	0	3	1	6	-0.000632778175405139	-0.00347158515163481	-0.00490460090399311	Plaque	Opc_Opc
BCKDHB	2	4	0	0	6	-0.000622576834307789	0.00230396332157137	0.00474842914467607	Plaque	Opc_Opc
C9orf3	0	0	3	2	6	-0.000608738515673797	-0.0018645485379499	-0.00281210014788104	Plaque	Opc_Opc
