"gene_id"	"lambda"	"p.value"	"p.adjusted"	"ci.hi"	"ci.lo"	"logFC"	"z"	"SE"	"logFC.CPM"	"SYMBOL"
"ENSG00000072310"	52.0901285705404	4.88396226836365e-12	8.75007848717557e-11	3.17676089489602	1.66738041825102	2.42207065657352	6.29022480196279	0.385046039960458	-0.135980489925966	"C4orf47"
"ENSG00000140400"	52.0784229088968	4.91263108829803e-12	8.79294577898748e-11	0.382208608687482	0.0217817149983711	0.201995161842926	2.19685738881053	0.0919456361451813	-1.06593662042129	"FZD9"
"ENSG00000257103"	52.0758019254718	4.91907327091731e-12	8.79598608125551e-11	2.21519623231773	0.353304278216434	1.28425025526708	2.70379195948006	0.474972437270739	-0.0708602515317087	"LINC00939"
"ENSG00000169718"	52.0724659415573	4.92728509229227e-12	8.80218183683772e-11	0.215263910793779	0.0765096107245752	0.145886760759177	4.121426100187	0.0353965051196949	0	"KCNMA1-AS2"
"ENSG00000132549"	52.029990017676	5.03304972274395e-12	8.97184167219923e-11	0.246393370616511	-1.60807170171746	-0.680839165550474	-1.43914303229639	0.473077824574992	-0.039449306119504	"RNF207"
"ENSG00000134453"	52.029673442772	5.03384645441498e-12	8.97184167219923e-11	0.441792535562277	-0.164272145915062	0.138760194823608	0.897478413291112	0.154608337111566	0.0736520853269403	"GPS1"
"ENSG00000179295"	52.0285112460479	5.03677246441212e-12	8.97184167219923e-11	1.60755535910683	0.281652464539581	0.944603911823204	2.79264741696396	0.338240534328379	-0.0378064592235994	"ADORA2A-AS1"
"ENSG00000264522"	51.9992465789837	5.11101403815019e-12	9.09534868612467e-11	0.715435821531477	-0.477173248719381	0.119131286406048	0.391566753284319	0.304237007717056	-0.0148558346299801	"STK10"
"ENSG00000186480"	51.9854900843638	5.146290036152e-12	9.14934382937359e-11	0.811533584220801	0.120446417767717	0.465990000994259	2.64315028100449	0.176297746544154	0.0316722682429674	"SLC17A4"
"ENSG00000197451"	51.979815099884	5.16091333112544e-12	9.1665532470363e-11	0.00761646885272962	-0.0061651889594802	0.000725639946624709	0.206394351174208	0.00351572903372699	0.599696082121581	"MTUS2"
"ENSG00000128266"	51.9760432685835	5.17065556197172e-12	9.17506852494177e-11	-0.00394127453011867	-0.254220182446319	-0.129080728488219	-2.02169316656768	0.0638466601827041	0.0804276253223106	"HID1-AS1"
"ENSG00000014123"	51.950104684096	5.23815204979717e-12	9.28595157355535e-11	0.555166810683516	-0.406904625153389	0.0741310927650631	0.302044664339775	0.245426386693088	0.767233024453654	"BPHL"
"ENSG00000110107"	51.9349577123694	5.27797372440123e-12	9.34760905172607e-11	0.0285406432104023	-0.0389723227680932	-0.00521583977884545	-0.302841327365907	0.0172226954026774	-0.383657433822856	"RNF169"
